k	min_size	max_size	stat	size
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	7
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	6
2	5	30	stdev	7
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	7
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	7
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	5
2	5	30	stdev	7
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	6
2	5	30	stdev	5
2	5	30	stdev	5
