command	numseqs	k	ss	time(s)
ctree	150	10	2500	33.137508153915405
ctree	150	12	2500	34.40491962432861
ctree	150	14	2500	36.025408029556274
ctree	150	16	2500	36.13869881629944
ctree	150	18	2500	37.25374245643616
prep	175			22.323030710220337
ctree	175	6	2500	34.289939403533936
ctree	175	8	2500	36.136823892593384
ctree	175	10	2500	37.82935118675232
ctree	175	12	2500	39.43419599533081
ctree	175	14	2500	41.70869445800781
ctree	175	16	2500	41.37184715270996
ctree	175	18	2500	42.186466455459595
prep	200			28.338987350463867
ctree	200	6	2500	36.94266200065613
ctree	200	8	2500	43.24519181251526
ctree	200	10	2500	41.08333992958069
ctree	200	12	2500	42.345290422439575
ctree	200	14	2500	43.99852013587952
ctree	200	16	2500	44.88991641998291
ctree	200	18	2500	45.77801752090454
