command	numseqs	k	ss	time(s)
prep	25			10.419272899627686
ctree	25	6	2500	14.59033465385437
ctree	25	8	2500	15.206637620925903
ctree	25	10	2500	14.69579267501831
ctree	25	12	2500	15.185492277145386
ctree	25	14	2500	15.53844928741455
ctree	25	16	2500	16.117551565170288
ctree	25	18	2500	15.664398193359375
prep	50			12.269997119903564
ctree	50	6	2500	16.226545333862305
ctree	50	8	2500	16.96555733680725
ctree	50	10	2500	17.278757333755493
ctree	50	12	2500	17.65136957168579
ctree	50	14	2500	18.178914785385132
ctree	50	16	2500	18.177660703659058
ctree	50	18	2500	18.56526517868042
prep	75			20.876314401626587
ctree	75	6	2500	20.960013389587402
ctree	75	8	2500	21.310681343078613
ctree	75	10	2500	22.43221879005432
ctree	75	12	2500	23.03370761871338
ctree	75	14	2500	23.498433113098145
ctree	75	16	2500	24.464575052261353
ctree	75	18	2500	24.50358557701111
prep	100			25.038296937942505
ctree	100	6	2500	25.053820848464966
ctree	100	8	2500	25.730381727218628
ctree	100	10	2500	27.555195093154907
ctree	100	12	2500	27.69827938079834
ctree	100	14	2500	29.613112926483154
ctree	100	16	2500	29.81620478630066
ctree	100	18	2500	30.61547541618347
prep	125			31.460824012756348
ctree	125	6	2500	26.926136255264282
ctree	125	8	2500	27.48686671257019
ctree	125	10	2500	28.74469542503357
ctree	125	12	2500	29.935075521469116
ctree	125	14	2500	31.291796684265137
ctree	125	16	2500	31.118648767471313
ctree	125	18	2500	32.13660740852356
prep	150			32.108802318573
ctree	150	6	2500	30.709251403808594
ctree	150	8	2500	31.45418071746826
ctree	150	10	2500	34.147367000579834
ctree	150	12	2500	35.444133043289185
ctree	150	14	2500	36.284419298172
ctree	150	16	2500	36.94399070739746
ctree	150	18	2500	37.816166162490845
prep	175			36.79827690124512
ctree	175	6	2500	34.63813900947571
ctree	175	8	2500	36.7389702796936
ctree	175	10	2500	38.96817874908447
ctree	175	12	2500	40.6670618057251
ctree	175	14	2500	41.715291261672974
ctree	175	16	2500	42.66735768318176
ctree	175	18	2500	43.208412647247314
prep	200			41.667805671691895
ctree	200	6	2500	39.573976278305054
ctree	200	8	2500	40.46259379386902
ctree	200	10	2500	43.464842081069946
ctree	200	12	2500	45.17178153991699
ctree	200	14	2500	47.16405272483826
ctree	200	16	2500	47.74690341949463
ctree	200	18	2500	48.51779532432556
prep	25			7.1177966594696045
ctree	25	6	2500	15.390429735183716
ctree	25	8	2500	15.822901487350464
ctree	25	10	2500	16.573487281799316
ctree	25	12	2500	17.242315530776978
ctree	25	14	2500	17.048985958099365
ctree	25	16	2500	17.027006149291992
ctree	25	18	2500	17.254619359970093
prep	50			9.948818683624268
ctree	50	6	2500	18.035508155822754
ctree	50	8	2500	18.495661735534668
ctree	50	10	2500	19.455843687057495
ctree	50	12	2500	19.632365703582764
ctree	50	14	2500	20.635988473892212
ctree	50	16	2500	21.13665795326233
ctree	50	18	2500	20.664947271347046
prep	75			14.191083669662476
ctree	75	6	2500	21.679506301879883
ctree	75	8	2500	21.86214804649353
ctree	75	10	2500	23.196244478225708
ctree	75	12	2500	24.184574604034424
ctree	75	14	2500	24.55411410331726
ctree	75	16	2500	24.968513011932373
ctree	75	18	2500	25.293957948684692
prep	100			17.458786964416504
ctree	100	6	2500	24.202959060668945
ctree	100	8	2500	25.00799584388733
ctree	100	10	2500	26.69556975364685
ctree	100	12	2500	27.430952548980713
ctree	100	14	2500	28.517308235168457
ctree	100	16	2500	28.710564374923706
ctree	100	18	2500	29.711233377456665
prep	125			20.44982671737671
ctree	125	6	2500	26.58408236503601
ctree	125	8	2500	27.806604623794556
ctree	125	10	2500	29.52662706375122
ctree	125	12	2500	30.46834111213684
ctree	125	14	2500	31.405827045440674
ctree	125	16	2500	32.202484130859375
ctree	125	18	2500	33.107017040252686
prep	150			23.015039443969727
ctree	150	6	2500	30.173748016357422
ctree	150	8	2500	31.55048394203186
ctree	150	10	2500	33.717448711395264
ctree	150	12	2500	35.33600997924805
ctree	150	14	2500	36.43363690376282
ctree	150	16	2500	36.42321705818176
ctree	150	18	2500	37.46422719955444
prep	175			33.66805148124695
ctree	175	6	2500	35.454920291900635
ctree	175	8	2500	36.47209572792053
ctree	175	10	2500	38.71324801445007
ctree	175	12	2500	40.42637300491333
ctree	175	14	2500	41.889559507369995
ctree	175	16	2500	41.88577318191528
ctree	175	18	2500	43.07989859580994
prep	200			31.941548347473145
ctree	200	6	2500	37.00077295303345
ctree	200	8	2500	38.61760449409485
ctree	200	10	2500	40.82238721847534
ctree	200	12	2500	43.023024797439575
ctree	200	14	2500	45.1482093334198
ctree	200	16	2500	49.44507646560669
ctree	200	18	2500	46.51434779167175
prep	25			5.882482528686523
ctree	25	6	2500	14.137487888336182
ctree	25	8	2500	14.266406774520874
ctree	25	10	2500	14.521692514419556
ctree	25	12	2500	15.007909059524536
ctree	25	14	2500	14.978614330291748
ctree	25	16	2500	15.03604531288147
ctree	25	18	2500	15.316248893737793
prep	50			6.998935699462891
ctree	50	6	2500	17.46501898765564
ctree	50	8	2500	17.747469186782837
ctree	50	10	2500	18.677271127700806
ctree	50	12	2500	19.342121601104736
ctree	50	14	2500	19.768452644348145
ctree	50	16	2500	19.411938667297363
ctree	50	18	2500	20.297093629837036
prep	75			13.282779932022095
ctree	75	6	2500	20.548254013061523
ctree	75	8	2500	21.405272245407104
ctree	75	10	2500	22.629273414611816
ctree	75	12	2500	23.06599712371826
ctree	75	14	2500	23.75017237663269
ctree	75	16	2500	23.68740439414978
ctree	75	18	2500	24.447463750839233
prep	100			20.823704719543457
ctree	100	6	2500	23.551131010055542
ctree	100	8	2500	24.58290410041809
ctree	100	10	2500	25.514410495758057
ctree	100	12	2500	26.80039405822754
ctree	100	14	2500	27.477835416793823
ctree	100	16	2500	27.695326805114746
ctree	100	18	2500	28.35502862930298
prep	125			21.992888689041138
ctree	125	6	2500	29.287832498550415
ctree	125	8	2500	30.722994089126587
ctree	125	10	2500	32.325464487075806
ctree	125	12	2500	33.0790696144104
ctree	125	14	2500	34.86828374862671
ctree	125	16	2500	34.3417763710022
ctree	125	18	2500	35.39722180366516
prep	150			21.374216079711914
ctree	150	6	2500	30.270919799804688
ctree	150	8	2500	31.559876203536987
