k	min_size	max_size	stat	(p-value<0.05)%
2	5	30	stdev	25.24271844660194
2	5	30	cov	21.359223300970875
2	10	30	stdev	26.21359223300971
2	10	30	cov	16.50485436893204
3	5	30	stdev	51.45631067961165
3	5	30	cov	25.24271844660194
3	10	30	stdev	46.601941747572816
3	10	30	cov	21.359223300970875
4	5	30	stdev	65.04854368932038
4	5	30	cov	48.54368932038835
4	10	30	stdev	61.16504854368932
4	10	30	cov	30.097087378640776
5	5	30	stdev	72.81553398058253
5	5	30	cov	48.54368932038835
5	10	30	stdev	73.7864077669903
5	10	30	cov	41.74757281553398
6	5	30	stdev	88.3495145631068
6	5	30	cov	86.40776699029126
6	10	30	stdev	85.4368932038835
6	10	30	cov	51.45631067961165
7	5	30	stdev	91.2621359223301
7	5	30	cov	93.20388349514563
7	10	30	stdev	88.3495145631068
7	10	30	cov	88.3495145631068
8	5	30	stdev	96.11650485436893
8	5	30	cov	93.20388349514563
8	10	30	stdev	79.6116504854369
8	10	30	cov	91.2621359223301
9	5	30	stdev	98.05825242718447
9	5	30	cov	97.0873786407767
9	10	30	stdev	82.52427184466019
9	10	30	cov	88.3495145631068
10	5	30	stdev	95.14563106796116
10	5	30	cov	90.29126213592232
10	10	30	stdev	90.29126213592232
10	10	30	cov	93.20388349514563
2	5	30	stdev	27.184466019417474
2	5	30	cov	15.533980582524272
2	10	30	stdev	23.300970873786408
2	10	30	cov	14.563106796116505
3	5	30	stdev	51.45631067961165
3	5	30	cov	35.922330097087375
3	10	30	stdev	42.71844660194175
3	10	30	cov	26.21359223300971
4	5	30	stdev	63.10679611650485
4	5	30	cov	34.95145631067961
4	10	30	stdev	62.13592233009709
4	10	30	cov	24.271844660194176
5	5	30	stdev	71.84466019417475
5	5	30	cov	52.42718446601942
5	10	30	stdev	78.64077669902913
5	10	30	cov	44.66019417475728
6	5	30	stdev	89.32038834951456
6	5	30	cov	84.46601941747574
6	10	30	stdev	85.4368932038835
6	10	30	cov	70.87378640776699
7	5	30	stdev	88.3495145631068
7	5	30	cov	87.37864077669903
7	10	30	stdev	89.32038834951456
7	10	30	cov	90.29126213592232
8	5	30	stdev	96.11650485436893
8	5	30	cov	93.20388349514563
8	10	30	stdev	87.37864077669903
8	10	30	cov	96.11650485436893
9	5	30	stdev	93.20388349514563
9	5	30	cov	93.20388349514563
9	10	30	stdev	80.58252427184466
9	10	30	cov	98.05825242718447
10	5	30	stdev	96.11650485436893
10	5	30	cov	91.2621359223301
10	10	30	stdev	76.69902912621359
10	10	30	cov	96.11650485436893
2	5	30	stdev	26.21359223300971
2	5	30	cov	22.33009708737864
2	10	30	stdev	24.271844660194176
2	10	30	cov	19.41747572815534
3	5	30	stdev	49.51456310679612
3	5	30	cov	25.24271844660194
3	10	30	stdev	33.00970873786408
3	10	30	cov	30.097087378640776
4	5	30	stdev	64.07766990291262
4	5	30	cov	48.54368932038835
4	10	30	stdev	61.16504854368932
4	10	30	cov	23.300970873786408
5	5	30	stdev	75.72815533980582
5	5	30	cov	46.601941747572816
5	10	30	stdev	77.66990291262135
5	10	30	cov	62.13592233009709
6	5	30	stdev	91.2621359223301
6	5	30	cov	77.66990291262135
6	10	30	stdev	87.37864077669903
6	10	30	cov	79.6116504854369
7	5	30	stdev	93.20388349514563
7	5	30	cov	89.32038834951456
7	10	30	stdev	88.3495145631068
7	10	30	cov	87.37864077669903
8	5	30	stdev	93.20388349514563
8	5	30	cov	90.29126213592232
8	10	30	stdev	85.4368932038835
8	10	30	cov	91.2621359223301
9	5	30	stdev	94.1747572815534
9	5	30	cov	89.32038834951456
9	10	30	stdev	84.46601941747574
9	10	30	cov	92.23300970873787
10	5	30	stdev	97.0873786407767
10	5	30	cov	92.23300970873787
10	10	30	stdev	85.4368932038835
10	10	30	cov	92.23300970873787
